"n","Dimension","Fold","Statistic","val"
"300",30,2,"cov",0.773333333333333
"400",30,2,"cov",0.893333333333333
"500",30,2,"cov",0.8
"300",20,3,"cov",0.83
"400",20,3,"cov",0.793333333333333
"500",20,3,"cov",0.833333333333333
"300",25,3,"cov",0.836666666666667
"400",25,3,"cov",0.793333333333333
"500",25,3,"cov",0.773333333333333
"300",30,3,"cov",0.836666666666667
"400",30,3,"cov",0.793333333333333
"500",30,3,"cov",0.773333333333333
"300",20,4,"cov",0.773333333333333
"400",20,4,"cov",0.83
"500",20,4,"cov",0.82
"300",25,4,"cov",0.85
"400",25,4,"cov",0.79
"500",25,4,"cov",0.826666666666667
"300",30,4,"cov",0.85
"400",30,4,"cov",0.79
"500",30,4,"cov",0.826666666666667
"300",20,5,"cov",0.843333333333333
"400",20,5,"cov",0.843333333333333
"500",20,5,"cov",0.836666666666667
"300",25,5,"cov",0.846666666666667
"400",25,5,"cov",0.84
"500",25,5,"cov",0.86
"300",30,5,"cov",0.846666666666667
"400",30,5,"cov",0.84
"500",30,5,"cov",0.86
"300",20,6,"cov",0.8
"400",20,6,"cov",0.803333333333333
"500",20,6,"cov",0.83
"300",25,6,"cov",0.856666666666667
"400",25,6,"cov",0.84
"500",25,6,"cov",0.84
"300",30,6,"cov",0.856666666666667
"400",30,6,"cov",0.84
"500",30,6,"cov",0.84
"300",20,7,"cov",0.873333333333333
"400",20,7,"cov",0.846666666666667
"500",20,7,"cov",0.783333333333333
"300",25,7,"cov",0.85
"400",25,7,"cov",0.87
"500",25,7,"cov",0.84
"300",30,7,"cov",0.85
"400",30,7,"cov",0.87
"500",30,7,"cov",0.84
"300",20,8,"cov",0.823333333333333
"400",20,8,"cov",0.85
"500",20,8,"cov",0.88
"300",25,8,"cov",0.83
"400",25,8,"cov",0.87
"500",25,8,"cov",0.846666666666667
"300",30,8,"cov",0.83
"400",30,8,"cov",0.87
"500",30,8,"cov",0.846666666666667
"300",20,9,"cov",0.823333333333333
"400",20,9,"cov",0.84
"500",20,9,"cov",0.84
"300",25,9,"cov",0.81
"400",25,9,"cov",0.836666666666667
"500",25,9,"cov",0.826666666666667
"300",30,9,"cov",0.81
"400",30,9,"cov",0.836666666666667
"500",30,9,"cov",0.826666666666667
"300",20,10,"cov",0.783333333333333
"400",20,10,"cov",0.793333333333333
"500",20,10,"cov",0.826666666666667
"300",25,10,"cov",0.813333333333333
"400",25,10,"cov",0.85
"500",25,10,"cov",0.796666666666667
"300",30,10,"cov",0.813333333333333
"400",30,10,"cov",0.85
"500",30,10,"cov",0.796666666666667
